timestamp,severity,checker,module,message
2025-12-01 00:24:56.775000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:55:53.075000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981758' received, requesting new capture with payload:{""IdRemito"":2981758,""FechaHora"":""2025-12-01T00:55:53.5975301-03:00"",""Especie"":231,""Largo"":""6800-7400 var"",""VolumenArbol"":0.4,""Categoria"":1,""TipoCamion"":null,""CantidadBancos"":0,""CantidadVehiculos"":0,""PesoNeto"":31.220,""PesoBruto"":46.140,""AlturaMaxima"":0.0,""Proveedor"":""no"",""IdModelo"":4,""Matricula"":""NTP6502"",""Establecimiento"":""URU-EL CARPINTERO 1 C273"",""DensidadMinima"":670.0,""DensidadMaxima"":740.0}"
2025-12-01 00:56:48.779000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190820] ID Manager: not vehicle ID available,"
2025-12-01 00:57:12.262000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 00:57:12.266000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 00:57:12.281000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 00:57:12.293000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 00:57:12.387000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:57:12.387000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 00:57:30.817000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.63359388"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:57:31.341000,HIGH,error_message_checker,CalculateMLVolume,"{""process_id"":"""",""result"":""0.671894"",""model_name"":""una_grapada_72"",""error"":""""}"
2025-12-01 00:57:42.172000,LOW,capture_finalization_checker,Engine,Event LM-ULT1-M-0000190820 finalized as event_approved
2025-12-01 00:57:46.252000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:57:46.252000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeReference
2025-12-01 00:57:46.255000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:57:46.255000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-01 00:57:46.258000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:57:46.258000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeReference
2025-12-01 00:57:46.261000,MEDIUM,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:57:46.261000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-01 00:57:46.278000,HIGH,error_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 00:57:46.278000,MEDIUM,warning_message_checker,DBConfigStorage,Warning al leer trace calc_error
2025-12-01 02:10:33.003000,LOW,capture_trigger_checker,MsmSystem,"Start code '2981711' received, requesting new capture with payload:{""IdRemito"":2981711,""FechaHora"":""2025-12-01T02:10:33.7363635-03:00"",""Especie"":197,""Largo"":""6800-7400 var"",""VolumenArbol"":0.14,""Categoria"":1,""TipoCamion"":null,""CantidadBancos"":0,""CantidadVehiculos"":0,""PesoNeto"":31.900,""PesoBruto"":46.780,""AlturaMaxima"":0.0,""Proveedor"":""no"",""IdModelo"":1,""Matricula"":""QTP3311"",""Establecimiento"":""Villarural S.A. - Next Gen SAS"",""DensidadMinima"":690.0,""DensidadMaxima"":790.0}"
2025-12-01 02:11:22.857000,MEDIUM,warning_checker,MsmSystem,"[LM-ULT1-M-0000190821] ID Manager: not vehicle ID available,"
2025-12-01 02:11:45.702000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo category"
2025-12-01 02:11:45.706000,MEDIUM,warning_checker,Main,"No se pudo insertar el valor, dejare la glosa de reemplazo bark"
2025-12-01 02:11:45.721000,MEDIUM,warning_checker,Main,No se pudo insertar el valor solidVolumeReference
2025-12-01 02:11:45.733000,MEDIUM,warning_checker,Main,No se pudo insertar el valor stereoVolumeReference
2025-12-01 02:11:45.829000,HIGH,error_message_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
2025-12-01 02:11:45.829000,MEDIUM,warning_checker,WebserviceManager,"Error leyendo finalizacion del evento, se asume no finalizado"
