timestamp,severity,checker,module,message
2025-12-20 14:32:15.725000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 14:32:15.740000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 14:32:45.150000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> JJVD83
2025-12-20 14:32:49.838000,HIGH,warning_checker,IDMan,Ignoring new ID: JJVD83 because is equal to id to process
2025-12-20 14:32:58.897000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> JJVD83
2025-12-20 14:33:19.201000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> JJVD83
2025-12-20 14:33:38.240000,HIGH,error_checker,WebserviceManager,No se puede encontrar evento con truck_id -> JJVD83
2025-12-20 14:34:28.365000,HIGH,warning_checker,IDMan,Ignoring new ID: RKLF21 because is equal to id to process
2025-12-20 14:34:38.903000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolume
2025-12-20 14:34:39.231000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace useReferenceSolidVolumeData
2025-12-20 14:34:39.247000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 14:34:39.247000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace useReferenceStereoVolumeData
2025-12-20 14:34:39.247000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 14:34:39.263000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weightVolumeRatio
2025-12-20 14:34:39.263000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weightVolumeValidRange
2025-12-20 14:34:39.278000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace weight_volume_ratio_fulfilment
2025-12-20 14:35:34.154000,HIGH,warning_checker,IDMan,Ignoring new ID: DPGF50 because is equal to id to process
2025-12-20 14:36:08.625000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 14:36:08.640000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 14:36:17.600000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 14:36:17.600000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
2025-12-20 14:38:12.263000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace solidVolumeOriginal
2025-12-20 14:38:12.278000,HIGH,warning_checker,DBConfigStorage,Warning al leer trace stereoVolumeOriginal
